,acceptability,sentence
304,1,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.
2085,1,"Sarah promised her old car to Catherine, but then gave it to her son instead."
8068,0,Gilgamesh might have not been reading the cuneiform tablets.
7295,0,My nephew could write letters the postcards to his parents.
1677,0,What the gloves and were on the table was this hat.
5838,0,I've never seen you ate asparagus.
5622,1,Everyone should be able to defend herself.
3753,1,The child broke the teapot by accident.
1892,1,John has a hole in the upper right-hand corner of his quilt.
886,0,"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the party Caspar couldn't decide whether to."
7440,1,John is carefully studying Russian.
4473,0,I do not have sung.
645,0,Rub the baby with the cloth asleep.
4552,1,Sharks could have been cruising near the beach.
1513,0,That he ever went there alone is certain.
4271,1,It is easy to please Kim.
3674,1,His friend kicked a ball.
6185,0,Which cake did you see the man who baked?
1138,0,"We elected my father, who had just turned 60, president."
1151,0,We elected the man who he had brought with him president.
1545,1,John is prouder of having gone than people who don't know him would expect me to believe he would be.
600,0,The cup filled water.
6102,1,The policeman kissed the puppy.
3019,1,I was hunting game.
4564,0,Tagalog is spoke in the Philippines.
489,1,John tried.
5450,1,Tom was no more reliable than a grasshopper.
4331,1,Under the bed is a fun place to hide.
3801,1,Under the bed is a safe place to hide.
6613,0,Accountant was sitting at her desk.
6906,1,Imogen broke the vase.
2907,1,I detached that new handle from the box.
1237,1,The proof that this set is recursive is difficult.
5659,1,Cats ate the spider.
7855,1,The therapist analysed Lucy
386,1,They have left.
1822,0,"If my father, he comes home late, my mother always grills him."
2385,1,The price of meat fell.
7998,1,Richard is going to chop some wood.
3069,1,Ellen talked with Helen.
1638,0,Bill left when that no one else was awake is certain.
5295,1,John would like that because he's such a nice guy.
3190,1,Brutus murdered Julius Caesar.
8039,0,We kicked myself
7934,0,Will can he do it?
6528,1,Who do you regret that you saw?
940,1,"Jerry wouldn't read a book by Babel, but Meryl has done so and it was pretty good."
7193,0,"Will put, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
5962,1,Heidi thinks that Andy has eaten salmon flavored candy bars.
779,1,Mary loves him.
3965,1,They pushed the prisoners into the truck.
3776,1,The situation became terrible.
5556,0,Some of them made as many as Joan errors.
2945,1,David constructed a house out of bricks.
4041,1,Tom intends for Sam to review that book.
5230,1,I'm sorry that anybody hates me.
1600,1,I'll work on it if you do.
8016,0,Jason intended for he to learn magic.
6128,0,There arrived three men at the palace.
2262,1,Jill embraced Sarah.
1893,1,There are seven holes in the door and window.
3877,1,The defendant denied the accusation.
2033,0,Susan gave the ball all the way to Bill.
4571,0,Does John have gone to the library?
1096,1,Whose book did you find?
2853,1,Carol cut her thumb.
2561,0,I funneled the bottle with the mixture.
1098,0,What table will he put the chair between some table and?
3434,0,Kim lives in the house Lee sold it to her.
803,0,Mary believed he to have loved her.
808,0,Mary reported his to have loved her.
7153,1,Would they have been walking for hours?
8330,1,Agamemnon stopped Jason from casting the spell
1404,1,"In this experiment, fourteen variables must be kept track of simultaneously."
5279,0,How easy to please John is it?
8281,1,Poseidon appears to have turned out to have left.
8435,1,Has the potion not worked?
166,1,"His expectations are lower, the higher the stakes."
1432,1,I disliked the boy's playing the piano loudly.
4633,1,They believe the cat to be out of the bag.
2362,1,The horse kicked Penny's shin.
3663,1,They put the book in the box.
6586,1,The woman believed that the man was ill who was here.
2687,0,The book brought to the meeting.
6877,1,Memo ate the spaghetti.
4202,0,He in the doorway waved to his father.
1061,1,Max boasted that the queen invited Lucie and himself for a drink.
1707,1,He's the happiest that I believe that he's ever been.
2499,1,The silversmith pounded the metal flat.
3376,1,Bill rolled the ball down the hill.
6706,0,Too many salt damages vehicles.
650,1,The cup smashed apart against the stone.
4674,1,They talked about the scandal for days.
6008,0,Calvin will could eat the beef waffles.
6157,1,Bill wants John to leave.
2823,0,Paula spanked her right hand through the naughty child.
2951,1,I shaped the dough.
2655,1,The thief stole the painting for Mr. Smith.
6698,1,Eleanor blamed Willoughby for Marianne's unhappiness.
5560,0,Mary has more friends that two.
7782,1,Jason would prefer for Medea to have cursed Agamemnon.
3955,1,Historians believe FDR to be our most effective president.
8364,1,Benjamin said he would give the cloak to Lee and give the cloak to Lee he did.
4608,1,The new policy was approved by the executive committee.
6607,1,"The Red Sox beat, and the Giants were beaten by, different teams."
1308,1,Students who fail the final exam will be executed or students who do not do the reading will be executed.
5686,1,I gave blood.
3812,1,The little cat devoured a mouse last night.
120,0,"The harder it rains, how much faster that do you run?"
1372,0,How have you picked up TNT carelessly?
4432,1,The child was never deceived.
409,1,For him to do that would be a mistake.
4277,1,It seems to be easy to fool Ben.
3730,1,Our neighbor takes his children to school in his car.
3317,1,In the aquarium swam a striped fish.
614,1,John included his name in the list.
1623,0,Whether he left!
6948,1,Tess was knocking at the door.
2913,1,Phyllis dyed the dress.
1576,0,Seven more soldiers came in after ten ones had left.
4337,1,The captain ordered the troops to proceed.
5508,1,She made so much better a reply.
3721,1,The monkey scratched a boy on Monday.
2544,0,The books put on the table easily.
4949,1,He who laughs last laughs best.
7772,1,The dragons had all eaten the pigs.
2355,1,We rummaged through the desk for papers.
7396,1,It is in the library.
3518,1,Wash yourself.
276,1,"Every senator becomes more corrupt, the more lobbyists he talks to."
2695,0,The package carried.
4211,1,One of major factors affecting the value of diamonds was their weight.
146,0,"It is important for the more you to eat, the more careful for you to be."
4167,1,How much of the fresco did the flood damage?
8096,1,She kicked her
7232,1,Bill's mother's friends and John are waiting at the restaurant.
928,1,"While Truman didn't tell me a story, he did Rusty."
6313,1,Darin has eaten more squid than John has octopus.
2950,1,I shaped the dough into a loaf.
1227,1,I yawned.
5059,1,A man came into the room that no one knew.
1251,1,Jack is claiming you won't need it.
4060,1,We hope that such a vaccine could be available in ten years.
3377,0,The ball rolled the hill.
85,0,She yelled hoarse.
5001,1,He is hard to love.
7452,1,I wonder has Mary worked for Microsoft.
6006,0,Calvin not will eat the beef waffles.
8124,0,He can can go
8406,1,That I should kiss pigs is my fondest dream
6847,1,To what place did you travel?
3763,1,She was sent a review copy of the book.
2062,1,The water melted to ice.
3428,1,A ball kicked the man.
6958,1,I leave for Paris next week.
5543,1,I'm as much sad as angry.
5812,1,My favorite language is a language with simple morphology and complicated syntax.
215,1,"The more people that you give beer to, the more people get sick."
1788,1,This rock is too heavy for me to begin to decide about helping Bob to try to pick it up.
1948,0,I didn't eat the cake or any ice cream.
4760,1,We talked about the fact that he was sick for days.
5760,1,Networking helps you grow your business.
2410,1,$5 will buy a ticket.
1193,0,I read that Bill had seen myself.
6206,1,Which animals appear to have lost their collars?
2768,1,Frances hid the presents from Sally.
3367,1,The convict escaped from the police.
713,1,We consider the men all totally crazy.
6723,1,A motorist has reported that the road is blocked by snow at Bunker Hill.
6341,1,John seems to like pictures of himself.
5239,0,I'm sure we got any tickets!
7637,1,Susan hopes that she will sleep.
7112,1,"Pat has become crazy, and Chris an incredible bore."
6897,1,Jane Fairfax received a piano from Frank.
6056,0,Andy promised if we would go.
4667,1,They widely believed that John was ill.
8241,1,We took the car to the town
2522,1,The couple waltzed to the window.
2139,1,The little boy broke the window.
3508,1,Is the boy who holding the plate can see the girl?
903,1,Lilly should buy salmon and Mary should too.
3095,1,The dog barked.
8328,0,I wondered who had Medea poisoned.
2431,1,The cook sliced the mushrooms.
1167,1,Toms drives the way that that man does.
7199,1,It was a first edition of Richard III that Ann bought for $1000.
7073,1,You British or you Americans will get yourselves in trouble.
2241,0,Like after tasting.
2162,1,Carla hit Bill on the back.
5017,1,The problem is easy to solve.
62,0,This building got than that one.
1924,0,Which girl did he give my binoculars?
923,1,"I know which woman Holly will discuss a report about, but I don't know which woman you will."
2337,1,Don swatted the mosquito with the newspaper.
5144,1,It was the director that I think she said she wants to meet.
8465,1,Homer recited the poem about Achilles?
218,1,The man that arrived on the train was my brother.
6078,1,The tuna will be being eaten.
5939,1,The soldier was given the medal.
6620,1,The truck spread the salt.
1588,1,"After Henry had done it, Webster touched a sword."
4317,1,There seems to be a fountain in the park.
7353,0,John needed.
1949,0,I didn't eat any ice cream or Mary's cake.
7324,1,"Two ships appeared, arrived, remained, emerged."
850,0,"Sally started running down the street, but only after Jos̩ started."
8304,0,Odysseus attempted Odysseus to hear the sirens.
3745,1,Have the kids arrived safely?
6052,0,John said if Heidi was obsessed with broccoli.
7481,1,"John will endorse the treaty, but Georges will not endorse the treaty."
4435,1,The children are seen in the yard.
1733,1,"They said that Tom was working, and he is working."
5062,1,Ray found the outcome frustrating.
140,0,"It is important the more you eat, the more careful to be."
5690,1,Dan gives to charity.
1222,0,"The money which I am discussing Sarah's claim that the company squandered amounts to $400,000."
8471,1,I intoned that she was happy
436,1,Mickey looked up the reference.
3079,0,Ellen and Helen conferred together.
5719,1,Those Olympic hopefuls should practice diligently daily.
259,1,"John is more embarrassed, the more pictures of him appear in the news."
7274,1,That he won the race could surprise them.
3005,0,Dorothy is needing new shoes.
1087,1,Who did Mary see walking toward the railroad station?
7176,1,She may have thawed the roast and should have thawed the roast.
1003,1,Every boy named a planet.
214,1,"The more people arrive, the louder it gets."
6318,1,Chris wants himself to win.
6839,0,The experts attributed Raphael this picture.
1955,0,My brother and few Americans meet in Vienna.
7292,0,John can go to the market to India.
4028,1,There exists only one truly amphibian mammal.
7927,1,Milena will make pasta.
1419,1,I gave to the officer in charge the blackjack. which I had found in the cookie jar.
5186,1,Perhaps some dry socks would help?
7434,1,John will have enthusiastically been eating cake.
8220,1,Jenny swallowed the fly
5692,1,The student loved his phonology readings.
4801,1,John asks which book by his father he read.
585,0,The cup emptied with water.
7999,1,The poem that Homer wrote.
952,1,"Today there is little or no official harassment of lesbians and gays by the national government, although autonomous governments might."
7409,0,They are readable of the paper.
1406,1,A plan to negotiate an honorable end to the war in Vietnam was gotten wind of.
3006,1,Dorothy needs her skills.
1437,1,"That piano, the boy's loud playing of which drove everyone crazy, was badly out of tune."
2597,0,The wall sprayed with paint.
5893,1,This key will open the door to the linguistics building.
2590,1,Jessica loaded boxes into the wagon.
1667,0,"Fluffy is sick, as surprises me."
6879,1,Emma made Harriet her friend.
6260,0,Louis begged Kate that she leave her job.
4285,0,Tabs try to be kept on Bob by the FBI.
5793,1,the book of poems and of fiction from Blackwell takes a very long time to read.
2460,1,On the windowsill is a flowering plant.
1897,1,Jerry's sister has a blemish on the end of her nose.
6904,1,The vase stood on the table in the hall.
471,1,I believed these students all to like John.
7343,0,They surrounded.
2606,1,The employees staffed the store.
2914,1,Smith inscribed his name over the door.
4334,1,Gregory appears to have wanted to be loyal to the company.
7438,1,John has carefully studied Russian.
963,1,John tries not to meet Mary.
6040,0,I wanted that he should leave.
4257,1,John tries to fix the computer.
7011,1,Ronnie was talking to Lou.
3921,1,The boy gave the baby the book.
588,0,the branch dropped bare of its apple.
8049,0,Aphrodite quickly may free the animals
2030,1,I threw the ball to Maria.
3128,0,Paul yawned at Mary.
3527,1,He walked right the wall.
7807,1,I ate a mango and Gillian did too.
5190,1,Every poodle gives live birth.
8042,1,which city the claim that Philip would invade.
3924,1,Every photo of Max and sketch by his students appeared in the magazine.
6893,1,Hartfield House is in Surrey.
1772,1,Wilt is taller than it is generally believed that Bill is.
4582,1,I could have little known that more trouble was just around the corner.
3614,1,The policeman met several young students in the park last night.
6484,1,At 4 p.m. I saw John lecturing to everyone who was near him.
3709,0,I know the truth and that you are innocent.
2494,1,The boy pushed his way through the crowd.
6834,1,Tatiana wrote to Onegin.
2733,1,Brown equipped Jones with a camera.
4503,1,John could not leave the town.
7329,1,"They melted, broke the ice."
210,1,"The more people that arrive, the louder it gets."
4355,0,There is believed to be a sheep in the park.
260,1,"John is more embarrassed, the more pictures of him that appear in the news."
5865,1,Eloise wants you to study a new language. assume to = T.
1476,1,It is not true that that for Herschel to throw a fit would confuse the guards was obvious.
6681,1,Did Frank buy Jane the piano?
7148,1,The tourists will go to the park.
1377,0,How did Sheila marry tall a man?
2935,1,Martha carved beautiful toys out of this wood.
7382,1,I saw the brilliant student.
1468,1,"Sam picked those packages up which are to be mailed tomorrow rest might, but he didn't want to do so until it had stopped raining."
584,1,The cup filled with water.
771,0,We love their.
8170,1,No one expected Agamemnon to win.
5637,1,Where do you guys live at?
3253,1,The potatoes baked.
4441,1,John can be dancing.
4118,1,Do not use these words in the beginning of a sentence.
822,1,John persuaded Mary to kiss him.
6180,1,"That guy, who I think might be drunk, just hit me!"
2238,1,They pushed through the crowd.
1309,1,John has been captured by the cops and I'm afraid he'll talk.
357,0,How do you wonder whether Mary solved the problem?
339,1,You must not simply not work.
278,0,"He seems to become more corrupt, the more lobbyists any senator talks to."
1079,1,Jean never reads this newspaper.
4218,0,The crew has both agreed to change sponsor.
5419,0,As much of a man is here.
1657,1,"Fluffy is sick, which few people realize."
1940,1,"Everybody who has ever, worked in any office which contained any typewriter which had ever been used to type any letters which had to be signed by any administrator who ever worked in any department like mine will know what I mean."
5744,1,That Bill's breath smells of onions bothers Erin.
5420,0,I've seen as much of a coward as Frank.
3512,1,He washed himself.
7624,1,the shit seems to have hit the fan.
4964,1,They met someone who knows the professor.
512,1,The medium contains ions.
4952,1,Which celebrity did he mention that he had run into?
8212,1,Which poem about Achilles did Homer recite?
4483,1,"Tom wanted to go home, but Peter didn't want to."
416,0,John believes that him is sick.
2476,1,Sarah sang the anthem.
6537,0,Who did you arrange for to come?
6049,0,Heidi investigated John to eat the cauliflower.
7116,1,That Goldstein appointed Heydrich and the implications thereof frightened many observers.
633,1,What John did to the wall was hit it.
932,1,"While Truman doesn't want to visit every city, he does Barcelona."
2876,1,I mixed the soap and the water.
5623,1,I hope nobody will hurt themselves.
1303,1,"Sally might be, and everyone believes Sheila definitely is, pregnant."
1859,1,"Them, they can't stand each other."
103,0,"The most you want, the least you eat."
1953,0,Few writers and any playwrights meet in Vienna.
629,0,Spray the wall with all the paint.
5749,1,We drove all the way to Buenos Aires.
5222,1,I'm sorry that he ever said anything.
1420,1,"I am confident of, and my boss depends on, a successful outing at the track."
4426,1,Was the child in the school?
5412,0,He looks so much formidable.
2923,1,The jeweller scribbled his name on the contract.
3123,1,Teresa bottle fed soy milk to the baby.
2644,1,Brian was wiping the wall behind the stove.
8499,1,Paul had two affairs
797,1,Mary desired to go abroad.
2664,0,The fish scrubbed.
6167,1,Whom did Matt kiss?
197,0,"The more he eats, the poorer he knows a woman that gets."
895,1,Does Joe sing?
5566,1,Mary doesn't have as many too many too many as Jane.
4655,1,John is said to be rich.
2067,1,She fell into a funk.
3126,1,Paul yawned.
8418,1,"Poseidon had run away, before the executioner murdered Hera."
4351,0,There are only one chemical substance involved in nerve transmission.
1785,0,Willy is taller than Bill by as much as that Bill is taller than Dan is believed.
6633,1,Maisie drove her car from Morningside to Leith on Wednesday.
6978,1,This book reads well.
2148,1,Carla hit the door.
6568,0,Where and when did Bill put the book?
7399,1,They intensified.
1192,1,I read that Bill had seen me.
4490,1,Duty made them never miss the weekly meetings.
2932,1,Martha carved a toy out of a piece of wood for the baby.
1435,1,The boy's loud playing of the piano drove everyone crazy.
1504,1,Do you think that he sometimes went there alone?
5496,1,Hilda is such a scholar as you were speaking of just now.
801,1,Mary believed him to have loved her.
6005,1,Calvin will not eat the beef waffles.
8492,1,We believed him to be omnipotent
6406,1,"We didn't keep a list of the names, but the President thanked every soldier who had fought in the Gulf War."
4383,0,She believed never his story.
3798,1,Being honest is not an easy task.
7509,1,The idiot can't even open an umbrella!
6479,1,John made a fool of himself in front of anyone who was there.
5587,1,Doug blew up the building.
1407,0,Light was made of her indiscretions.
1371,0,Which boy's guardian's did we elect employer president?
1957,1,"No writer, and no playwright, speaks clearly."
2356,0,We rummaged papers through the desk.
133,1,"As John eats more, keep your mouth shut tighter, OK?"
5335,1,I've never seen a taller man than my mother.
5358,1,John is taller than 6 feet.
4538,1,"Sandy must have, too."
2051,0,Jill gave the ball towards Bob.
3867,1,The vacuum cleaner frightens the child.
7241,1,The man that Mary saw knew me.
734,0,John is impressed by Bill as pompous.
111,1,"I want to explain exactly why the more you eat, the less you want."
1834,1,"My wife, somebody stole her handbag last night."
2656,0,The thief stole Mr. Smith the painting.
4405,0,The bus hopes to be here at five.
2198,1,I shaved.
6059,1,"If I were a rich man, I'd buy a diamond ring."
101,1,"When you eat more, you want correspondingly less."
1857,1,"Us, we'll go together."
6464,1,There is every book by Chomsky in this library.
7811,1,I want to can do it
5362,1,He offers more than we had hoped for.
1960,0,Bill understands himself and Mary.
5646,1,The man went to the store.
7939,1,That picture of her pleases Jenny.
7349,0,I handed to Reg.
5534,1,"The table is long, and the door's wide."
4766,0,Who did you see and a picture of?
2136,0,Carla poured the pitcher with lemonade.
3977,0,Oliver addressed the king the letter.
1782,0,Willy is taller than Bill by as much as I know a boy who thinks that Bill is taller than Dan.
6108,0,It was kissed the puppy.
6891,1,The baby was chewing the biscuit.
5612,1,Who did you see in Las Vegas?
6076,1,Calvin will be eating.
4809,1,She gets upset if I exclude her from anything.
2799,1,Paula hit Deirdre's back.
4542,1,"Mary sang a song, but Lee could not."
1804,0,The socks are ready for you to try and the shoes on.
6092,1,Do you like peanut butter?
7085,0,Either Professor Swansong or the graduate students is going to proctor the exam.
3281,0,There lodged an old woman at Mrs. Parker's.
1758,0,I have some papers to announce that I've got to grade.
7856,1,Dracula thought himself to be the Prince of Darkness.
8308,1,"Ron's likely to be on the Web, isn't he?"
3270,0,On the line are drying a lot of clothes.
5129,0,That brought the letter is Bill.
367,1,Which picture of himself does Mary think that John said that Susan likes?
4284,0,It tried to bother me that Chris lied.
4855,0,John was wondering to whom he was referring to.
7450,0,Mary prefers whether Bill will come.
7910,1,That Aphrodite was so promiscuous astounded the other gods.
7256,1,I prefer for the girl to win.
6126,1,Stacy arrived at the palace.
4279,1,Tabs are likely to be kept on participants.
1379,1,The bed on which Tom slept was hard.
2619,0,Doug removed the scratches out of the drawer.
565,1,Gas escaped the tube.
6679,1,The piano Frank bought for Jane.
2311,1,I broke the twig and the branch apart.
5384,1,She has enough of a problem as it is.
6131,0,Donny is likely that left.
1917,1,It bothers me for her to wear that old fedora.
8270,1,It seems that Agamemnon left.
4994,1,The hotel where Gloria stays is being remodelled.
5993,0,Has Calvin a bowl?
8200,1,They kicked themselves
2336,1,Brian hit the fence with the stick.
3369,0,The collaborators escaped the convict.
3154,0,The fear shivered Sharon.
1257,0,I know a man who hates myself.
2218,0,Ellen argued Helen.
917,0,"Although Mag doesn't eggplants, Sally eats cabbage."
5467,0,I have half a dozen of these marbles too many.
7391,1,I saw the student of physics with long hair.
7350,0,I handed.
7328,1,"The door opens, closes."
5657,0,Cat ate the spider.
2275,1,Henry cleared dishes from the table.
6401,1,"Every student in Mary's class, by virtue of being in her class, is working on polarity items."
126,0,"As it rains harder, how much faster a flow that appears in the river?"
7507,1,He took his umbrella.
1570,1,I took it for granted that she was lying.
6013,1,He might eat deep fried muffins.
2658,0,The painting stole from the museum.
6297,1,Robin will eat cabbage but she won't ice cream.
1909,0,The time bomb had a snake behind the car which it was sitting in.
8413,1,I asked who saw what.
6971,1,Some gifts get used a dozen or so times a year.
1229,1,Bill gave me $40.
3022,1,I was hunting.
5915,1,I played a tune on my iPod.
14,1,The gardener watered the flowers.
3828,1,John wiped the window with a towel.
6417,1,Mary confidently answered any objections.
5907,1,I put a book on it.
2046,0,Fred offered the ball under Molly.
2442,1,The pillow remained stuffed with feathers.
1006,1,I showed few boys any of the books.
5167,1,Tom ate what Mary offered to him.
6623,0,This truck spread fewer salt than that one.
3661,1,John seems certain about the bananas.
4568,0,George is having lived in Toledo for thirty years.
2706,0,The package drove to New York.
6525,1,Who saw the man?
2181,1,They gave the bicycle to me.
5953,0,I ordered for John to drink his beer.
6389,1,John put any carrot from his garden in the salad.
456,1,There aren't many linguistics students here.
200,0,"The more he reads, the more books I wonder to whom he will give."
5085,1,It's mainly his attitude which convinced the teacher.
6846,1,What place did you travel to?
6617,1,Some accountants were quietly counting in the back office.
5896,0,John placed the flute.
3728,1,The committee disliked her proposal.
7067,1,The screw which I've got to try and find holds the door to the frame.
7097,0,"John left at 11 and at 12, Bill."
2910,1,The winter schedule differed from the spring schedule.
2839,1,Carrie touched the cat.
1542,0,John is prouder of having gone than John expected me not to believe he would be.
2387,1,The president appointed Smith as press secretary.
8169,1,Which king did you wonder invaded which city?
6949,1,Tess knocked at the door.
910,1,"I know which book Max read, and which book Oscar didn't."
5288,0,The book to whom did you give.
3861,1,The students called me a teacher.
3484,0,few information was provided.
2516,0,This list includes my name on itself.
2567,1,I lifted the book onto the table.
1394,1,One plan which I got wind of was calculated to keep us in suspense.
7955,1,Jason gave the poisoned clothes to who?
116,1,"You get angrier, the more we eat, don't you."
4408,0,John stopped can to sign in tune.
981,1,The knowledge of the problem is quite thorough.
7493,1,Mary send a book.
8442,1,No one could remove the blood from the wall
5214,0,Even Sue said anything.
6795,0,Henry wanted to possibly marry Fanny.
3988,1,They are kind to her.
7057,0,I tried and buy some whiskey.
1143,1,He figured Ann out.
8184,1,The librarian likes books.
3609,1,The mother of the boy and the girl is arriving soon.
7248,1,John asked whether she left.
4070,1,To train his horse would be desirable.
3778,1,The message was that you should come on time.
5155,1,It was to Boston that they decided to take the patient.
5714,1,The very young child walked from school to the store.
2905,0,The handle detached from the box.
6223,0,Briana showed himself Justin.
7604,1,How many strings did you say she had to pull in order to do that?
3773,0,Chairman was elected Graham.
741,0,He impresses his friends all as pompous.
8127,1,The boys should could all go
54,0,The witch went into the forest by vanishing.
4566,0,The roof is leaked.
2957,0,He turned from a prince.
4723,0,A mile to work was run by him.
7735,1,I asked who Medea poisoned.
595,1,The tree dropped some branches.
8385,1,I looked the number up.
6398,0,Mary talked to any man or any woman.
4712,1,He will keep up with their expectations.
7020,0,Chris became quite conservative and trying to change their minds.
1132,0,I went out with a girl who that John showed up pleased.
2532,1,The teacher meant well.
2530,0,Jennifer craned her arm.
7431,1,"Mary won't have been eating cake, but John will have."
1301,1,"The Ferrari which Pietro, who Sofia adores, bought from me cost him a bundle."
5319,1,Would John hate that?
8190,1,"Raffi has made pasta, and David has too."
7269,1,Whether to win is a question Mary never considered.
202,0,"The sooner you call, the more carefully I know a man that will word the letter."
3203,1,On his finger there sparkled a magnificent diamond.
7902,1,Which book about Ulysses did you say that you would read?
2570,1,I lifted the books onto the table.
7367,0,I emptied it with butter.
7267,1,John wonders whether to win.
3968,1,Tom keeps asking Karen's sister to buy the car.
7517,1,Mary wrote a letter to him last year.
5544,0,I'm as sad as angry.
1748,0,"Handsome though I know several boys who are, I'm still going to marry Herman."
6283,1,Kathleen really hates her job.
4245,1,I washed myself.
6436,0,Mary talked to any actual student.
4505,0,John not could leave the town.
3537,1,They can smile.
3582,1,"I don't really want to go to the dentist's, but I know I should."
8130,0,The Gorgon is easy to believe the claim that Perseus slew.
1277,1,Here's the whisky which I went to the store and Mike bought.
2812,1,Paula swatted at the fly.
7021,0,Gerry became a republican and awarded a prize.
4163,1,This Government has been more transparent in the way they have dealt with public finances than any previous government.
2831,1,The old cart banged against the new cart.
4763,0,We talked about that he was sick for days.
1248,0,Max gave the car Levi's shove.
1291,1,The screw which I've got to try and find holds the door to the frame.
2978,1,I see someone running down the street.
5328,1,He would not finish.
2976,1,Miriam tutored her brother.
5799,0,Susan did so the baker.
5816,1,The biggest man in the room said that John danced an Irish jig from County Kerry to County Tipperary on Thursday.
6234,0,Jean is likely.
6774,1,Fanny stopped talking because in came Aunt Norris.
3885,1,be eager to leave the meeting.
1768,1,Wilt is taller than I believe that Bill is.
4561,1,Tagalog is spoken in the Philippines.
5223,0,I'm glad that I ever met him.
2332,1,The jeweller copied the name on the ring.
2445,1,A problem developed.
315,1,Why did John leave?
3018,1,I hunted game in the woods.
6825,1,The car was driven by Alison.
1316,0,Sally's sick and what did you bring me?
6038,1,Fiona has not eaten the sauteed candy canes.
6201,1,Shelly loves who?
786,0,John to love Mary would be doubtful.
4853,0,I wonder if on which shelve John will put the book.
521,1,Fruit hit the ground from the tree.
5138,1,It is Uncle John whose address I lost.
3610,1,The mother of the boy and the girl are arriving soon.
6657,1,Grandma is coming here tomorrow.
7635,1,Bill is sick.
7195,1,It is your notes that John wants to look at after class.
6323,1,Heidi thinks that she has won.
209,1,"The more people that arrive, the louder that it gets."
7956,0,By is eaten monkey banana that the being
1501,1,Beans I don't think you'll be able to convince me Harry has ever tasted in his life.
7146,1,Can Mary win the race and will Sue win the race too?
1682,1,What it is certain that he was wearing is this hat.
6784,1,Henry wanted to marry Fanny.
4087,0,Alan is thinking about that his students are eager to learn English.
3463,0,much tool is needed.
4237,1,Half of the year be dark and wintry.
580,1,Water filled the cup.
2261,1,Jill met Sarah.
637,0,John concluded Bill to be a fool.
5298,1,"John would, because he's such a nice guy, like that."
6560,1,I know a man who Bill saw and Mary liked.
2526,0,They rumor that he left town.
234,1,So fast did you run that everyone gasped.
8215,1,The shield that saved Achilles life.
7389,1,I saw the student of physics.
7356,1,John told.
3940,1,The lasagna tasted delicious.
1564,1,"If Jim feels good, he will go."
4077,1,Tom is insistent that the defendants be truthful.
445,1,What does John think Mary bought?
5750,1,John tagged Lewis with a regulation baseball on Tuesday.
2278,0,The thief stole the museum of the painting.
5784,1,the book of poems from Blackwell with a red cover by Robert Burns takes a very long time to read.
7628,0,There seems to run many people to the station.
6530,1,Who do you think you saw?
1439,0,"That piano, which the boy's playing loudly drove everyone crazy, was badly out of tune."
3772,1,They elected Graham chairman.
8155,0,Benjamin gave to Lee it.
7709,1,Jason persuaded Medea to desert her family.
4247,1,I washed you.
6999,0,The scene of the movie and that I wrote was in Chicago.
2480,1,Kelly buttered the bread with unsalted butter.
689,1,John learned French perfectly immediately.
5856,1,That Harry loves dancing is evidenced by his shiny tap shoes.
3452,0,The equipment we bought last year was more expensive than the one we bought this year.
6832,1,Ayala sent her cousin the diamond necklace.
2458,1,A lot of snow melted on the streets of Chicago.
3389,1,They rowed.
1829,0,I don't know the boy the flowers who Mary gave to.
6123,0,She was kissed him.
1745,1,"Although Dick is handsome, I'm still going marry Herman."
3280,1,An old woman lodged at Mrs. Parker's.
3737,0,The tornadoes that tear through this county every spring is more than just a nuisance.
2059,1,All who come will have a good time.
3467,0,many equipment is available.
3082,1,Ellen said something.
8409,1,The men chuckle
1889,0,John's quilt's upper right-hand corner has a hole.
5502,0,So much of a scholar is here.
1635,0,Bill left when I believe the claim that the bomb had just exploded.
3412,1,I weighed the package.
4897,1,This is the friend for whose mother Kim gave a party.
5899,1,Megan loves Kevin.
833,1,I noticed him kissing Mary.
4451,1,In no other circumstances does that distinction matter.
7421,1,I wonder if she will use paints.
7829,0,He replied his answer.
1107,1,The shock touched the explosion off.
1127,1,I want the fact that Bill left to remain a secret.
7354,0,John criticized.
1214,0,Rutherford is understood. by himself.
4728,0,Seoul was slept in by the businessman last night.
3234,0,The builders destroyed at the warehouse.
4065,1,That John coughed bothers me.
5170,1,I don't have any potatoes.
6435,1,Mary talked to any student who was angry.
4500,0,Lee not left.
982,0,The problem's perception is quite thorough.
8408,1,"Ron failed biology, unfortunately"
7016,0,Tracy became awarded a prize.
2517,1,Fanny pulled the blanket over herself.
908,1,My uncle doesn't have a spouse but your aunt does and he is lying on the floor.
4690,0,Loren was relied on by Pavarotti and Hepburn on by Bond.
899,1,Every man who said he would buy some salmon did.
2266,0,Bill sent London a package.
2188,1,The rats ran through the maze.
5381,1,There is enough of the bread left to have tomorrow.
7941,1,There was a dragon in the cave.
6649,1,With this chainsaw we felled the murder.
4918,0,the pencil with that he is writing broke.
6990,1,Pat is either asleep or at the office.
3859,1,The students all worked that summer.
1282,0,The excellent whisky which I went to the store and have bought was very costly.
4993,1,They denied the claim that they should report only to us.
1577,0,Seven more ones came in after ten soldiers had left.
3356,1,The accident happened.
286,0,"He seems to become more corrupt, as any senator talks to more lobbyists."
